App ID,Version Code
com.digimax.dp5617,2
com.ldrobot.tyetanew,193
net.noahglaser.bluetoothrxrgbled,2
com.lumary.smart,14
com.slatvinskiy.gpstrackerorganiser,22
com.satellite.fanlightsync,20800
com.powervelocity.EVdash,65
com.kte.remotekontroller,6
com.brainbee.atfdoctor,7
system.automation.io_tapplication,2008111230
com.ati.ozwi,1
com.howto.use.xiaomi.haylougt1,10001
com.owlr.controller.dlink,900022896
com.meminokumus.arduinobluetoothcontroller,1
com.wifiac.android.controller.activity,305
com.usmai.yoyo.v3,1
com.micronovasrl.ninalineavz,10620
app.ebikeinfinityrs.com.infinityrs,20
io.senlab.iotool.servicebleheartrate,25
com.OnSoft.android.BluetoothChat,252
com.revogi.meterplug,20200931
de.spiritdev.neon,4
com.goctc.smarthome,195
com.cgi.auto.arq,2028
com.onexgps.gps.onexgps,1
it.davidevignali.registratorecassafree,18
com.vison.macrochip.drc.pro,51
com.dermandar.thevrkit,35
com.uavionix.skybeacon,106130009
org.smartsolutions.smartcare.app,2
com.dualbrotech.routersettingpaid,2
com.engview.mcaliper,2323
logismart.PA0066,6
com.bpoint.bluetooth.le,1602027
com.daikin.dchecker,1124
com.kai.lockswitch.lockswitch,9
com.jvckenwood.audio.jacw1,3
air.com.bryant.myevolution,2052001
com.wifi.ezplug,1243
com.omo.systems,1621
com.chs.mt.ybd_nds6120,13
x.dt.cam,2014112437
com.thingsxess.thingaccess,2
com.netgear.readycloud,2000137
com.mjsoundlab.incidentlightmeter,6
appinventor.ai_samakbrothers.DriveBot_Controller,7
com.bledimproject.bledim,203
invootech.ashish.anduino_connect,228
com.ledvance.smart,128
com.remo.obsbot,25
com.honeywell.aero.pilotgateway,1270002
com.garmin.android.apps.gogolink,1002001
com.khaledmahmud.InteriorDesign,2
com.alcoprevention.ialcosmart,2
com.KameLogic.BehatrixMobile,8
com.dmholdings.marantzremoteapp,20
es.jma.app.user.lite,1
cn.chuango.e5_gprs,5
io.supportsquare.passerelle.remotesupport,1620810303
com.idelan.NetHome,161109
sony.remotecontrol.universal.pro,271
com.pk.ppbt,5
com.bluetoothcontroller,2
com.sunnysidesoft.VirtualTablet.lite,24
com.trendnet.securview,590
com.lugloc.neit,98
com.sismart.smart,4
com.happy2print.premium,2000
camera.guardian,4
com.enclaveaudio.remote,28
com.belwith.srrecovery,4
com.allterco.mykispot,2021030101
com.aaacinc.titanvu,180402
com.tmlr.zei.production,1278659628
ru.web_site.easycamera,30
con.vison.macrochip.bounce.car,4
obdhightech.com.chevrolet.chevrolettroublecode.elm327.obd2.chevroletsys.chevroletsysscanfree,1
com.sss.arduino_controller_v1,5
com.toncentsoft.ifootagemoco,56
com.argonremote.smstemplates,38
com.espiritlock.smart,1
ca.carrier.comfort,94
com.ruwido.ruwido_leaf,19
com.aduro.revive,6
com.reconyx.anywhere,2090701
com.smokewatchers,116
com.alarm.alarmmobile.android.vivint,430
com.blackline.connectandroid,29161115
org.fruct.yar.bloodpressurediary,82
com.fnoks.whitebox,10719
photovideoinfotech.screenmirroring,4
co.candyhouse.sesame,168
com.venstar.configurator,102058
com.ethermostat.poland,1
com.pixmax.cmlamp,83
io.zetaqlab.zqlightlink,10600
com.warmlighting.superwarm,4
com.feexon.intelligentlockuser,3
com.lwcx.lw002,41
com.madur.tabcomapp,4
drw.usm.usmgama,78
com.arduino.cc3000kit,83
com.mantruckandbus.driver,26300
mi_light.mi_light,10
de.bega.begasmart,89
com.homedepot.sp1,129
com.secrui.w17,20200504
com.monbridge001,53
com.samsung.smarthome.oven,9
com.amplez.sony_remotes,8872
com.yonomi,2654
com.teejoin.smarthome,185
com.seat.easycharging,869
chunfeng.andriod.ble.chunfengautoEN,1
com.jellyfishtur.multylamp.WIFI_AWS_IOT,100
com.vMEyev2,400
com.honeywell.alarmscan,16
com.Jensenscandinavia.iiglo,2
com.remootio.app,32
com.kondor.freeplay,2020031715
com.contractorpete.evo,34
com.keeson.rondurewifi,15
com.weedle.audio_receiver_onkyo_remotes,9205
com.toxic.apps.chrome,274
com.ulink.mobile.android,3801
com.tiqiaa.remote,458
com.TableLamp.Paodroid,5
com.vengean.magicled,7
com.tlx.touringcar,5
codes.carbon.phonarik,5
org.cirrus.mobi.smarttransport,20
com.theblindfactory.hubv2,11
de.waldau_webdesign.lightmeter,10
tv.remote.control.vizcontrol,21
com.idevicesinc.instinct,236
com.dragonflow.android.orbi,1580
com.disolutions.mypinhere,28
com.midea.aircondition,20210426
com.samsung.android.app.watchmanager,2121011861
cc.littlebits.android,366
com.spocky.galaxsimunlock,55
br.com.ldwtechnology.globus_aircom,1
com.prometheus_mobile,1614107935
com.google.android.apps.chromecast.app,23801070
com.gingerway.ZGingerMini,47
com.technogym.mycycling,408
com.sundrax.internal.nodemanager,16
ble.com.ble,15
com.tvt.superliveplus,2346
com.chekt.app.v3,3
dev.zhs.gearwidget,5
com.ecartek.en.kd,334
appinventor.ai_ganepolaroshan_GM.Water_Project_playstor_6_speech,1
de.afischer.aftrack.plugin.calypso,10003
com.samremote.view,462
com.swisscom.internetbox,700005
mrm.marco.probeomd,20
in.remotify.www.mitvremotecontrol,4
com.nubo.nubocam,210300001
com.actdmand,15
com.medtronic.diabetes.minimedmobile.us,704
com.shenyaocn.android.BlueSPP,54
com.wakeup.smartband,117
in.ind.ecoearth,3
com.espsurgex.envision,2
fox.summit.FSHome,19071712
it.equipmentgroup.mytestlanedisplay,100020
de.im.RemoDroid,51
com.acremotecontrol.acremotelloyd,5
otodo.otodo.chacon,219
org.eospy.mobile,25
com.rawleeks.officer,280013
com.aochn.cat110,298
com.domologica.unaandroidapp,59
com.iqontrol.signifires,1033001
com.Dazco.unitycartest,24
com.getac.android.mobileappBWC,30
com.company.ahmetunal.arizatespit,7
com.trainerize.peakfitness,50101034
tc.android.iunsr9client,8
com.xapcamera,73
com.misfit.home,33
my.com.rero.rerobtremote,13
dk.schneiderelectric.igssmobile,14
de.dewertokin.flex.remote,19
org.tqfp.simpletesla2,9
com.mcu.Laview,3710
com.aaglobe.alcobloc,11
