App ID,Version Code
com.pathwin.cnxplayer,1061
xyz.angeldev.flux,81
co.sonofy.smartroomsolutions,360
com.mcu.iVMSHD,18
co.desora.cinder,39
com.genbolt.cam,115
com.perimetersafe.kodaksmarthome,2270
com.visionforhome,75
com.logitech.harmonyhub,114
com.nest.android,5600004
pnv.pnv2.client,61
com.cetusplay.remotephone,488
com.mcu.reolink,469
com.whiz.droneapp,254
com.zuricate.vision,336
net.ajcloud.wansviewplus,1018112686
com.quanticapps.remotetvs,109
com.wooxhome.smart,19
com.neatorobotics.android,701
com.mm.android.amcrestsmarthome,390
net.mantro.oilfox.presentation,5024
com.alarm.alarmmobile.android.moni,430
com.etekcity.vesyncplatform,247
com.kean.annkea,353
com.sonyericsson.extras.liveware,507360001
com.thhkstudio.hassdash,762
com.detroitlabs.electrovoice,77
com.powerley.aepohio,1800000131
com.spotcam,6020214
com.naturela.smarthome,12
com.pyronix.app,60109
com.nero.streamingplayer,154
com.ecobee.athenamobile,73235929
com.seedonk.android.androidisecurityplus,78
com.august.bennu,211216302
com.tplink.tpm5,205
eu.airpatrol.android,4031001
com.home.shelly,43
ch.digitalstrom.androidenduser,1804
com.ezviz,201
com.sinric,3
com.huaweioverseas.smarthome,2001102305
rocks.keyless.app.android,1016
com.lge.media.lgbluetoothremote2015,37
com.apprologic.rational.appstore,5
com.velux.active,791109201
com.nuwave.samrt,5
com.legrandgroup.c300x,192
com.lscsmartconnection.smart,13
com.automatehome.bosch,2
com.nedis.smartlife,20
com.swannsecurity,288
com.allocacoc.smart,6
com.kraftwerk9.rokie,2008311427
me.nanoleaf.nanoleaf,232
com.BoschSecurity.AndroidRSC,113
com.ge.cbyge,53955
com.loxone.kerberos,405035
com.universal.remote.ms,50010011
com.lutron.mmw,6168
com.shirajo.tinwoo,28
com.github.catfriend1.syncthingandroid,1180500
com.sengled.life2,10175
com.brilliantlighting.brain,15
com.mobileintegratedsolutions.mobilincx,55
air.com.crestron.andros,102052003
com.homeguardapp,64
com.robtech.tasmotaremota,156
it.inim.inimutenti,500162
com.homeguard,64
com.simplisafe.mobile,20375
com.iruleav.nebula.android.prod,80
com.jibo,33
com.mm.android.direct.AmcrestViewPro,52
com.eufylife.smarthome,223
