IOTFLOW,DYNAMIC,MATCH,REASON,IoT-RELATED,IoT-RELATED 2,IoT-RELATED REASON
android-api.fitbit.com,android-api.fitbit.com,exact,,b,b,vendor
android-cdn-api.fitbit.com,android-cdn-api.fitbit.com,exact,,b,b,vendor
static0.fitbit.com,static0.fitbit.com,exact,,b,b,vendor
,graph.facebook.com,,,,,
,mcbs1myt8rhvg1jhw6dlgdpy4fly.device.marketingcloudapis.com,,,,,
,logx.optimizely.com,,,,,
,asset-service.fitbit.com,,,,,
,fsc.fitbit.com,,,d,d,vendor
,digital-assets.fitbit.com,,,,,
,decide.mixpanel.com,,,,,
,gallery-webview.fitbit.com,,,,,
,cdn.optimizely.com,,,,,
,www.google-analytics.com,,,,,
,corporate-webapps.fitbit.com,,,,,
,api.fitbit.com,,,d,d,vendor
,gallery-assets.fitbit.com,,,,,
,api.mixpanel.com,,,,,
,android-cdn-client.fitbit.com,,,,,
,clients4.google.com,,,,,
,csi.gstatic.com,,,,,
www.googleapis.com,,,,,,
api.createsend.com,,,,,,
www.youtube.com,,,,,,
help.fitbit.com,,,,,,
www.fitbit.com,,,,i,i,vendor
github.com,,,,,,
www.slf4j.org,,,,,,
