IOTFLOW,DYNAMIC,MATCH,REASON,IoT-RELATED,IoT-RELATED 2,IoT-RELATED REASON
ww8.ikea.com,ww8.ikea.com,exact,,b,b,vendor
googleadservices.com,googleadservices.com,exact,,,,
googleapis.com,clientservices.googleapis.com,manual,partial at functionality,,,
googleapis.com,maps.googleapis.com,manual,partial at functionality,,,
googleapis.com,content-autofill.googleapis.com,manual,partial at functionality,,,
,ikea.com,,,d,d,vendor
,geolocation.onetrust.com,,,,,
,p11.techlab-cdn.com,,,,,
,cdn.optimizely.com,,,,,analytics
,a11701662245.cdn-pci.optimizely.com,,,,,analytics
,pro.ip-api.com,,,,,
,js.adsrvr.org,,,,,js
,acdn.adnxs.com,,,,,js
,c.go-mpulse.net,,,,,js
,us-gmtdmp.mookie1.com,,,,,tracking
,googletagmanager.com,,,,,
,s.pinimg.com,,,,,js
,connect.facebook.net,,,,,js
,cdn.krxd.net,,,,,
,bat.bing.com,,,,,
,sc-static.net,,,,,js
,analytics.tiktok.com,,,,,
,cdn.pdst.fm,,,,,js
,s.yimg.com,,,,,js
,logx.optimizely.com,,,,,
,tr.snapchat.com,,,,,
,ib.adnxs.com,,,,,tracking
,t.contentsquare.net,,,,,js
,us-central1-adaptive-growth.cloudfunctions.net,,,,,
,survey.survicate.com,,,,,js
,ct.pinterest.com,,,,,
,google-analytics.com,,,,,
,sp.analytics.yahoo.com,,,,,
,facebook.com,,,,,
,consumer.krxd.net,,,,,ads
,googleads.g.doubleclick.net,,,,,
,europe-west1-ingka-channel-analytics-dev.cloudfunctions.net,,,,,
,stats.g.doubleclick.net,,,,,
,google.at,,,,,
,google.com,,,,,
,intent-to-buy-api-ro2b6qy3fa-ez.a.run.app,,,,,ads
,beacon.krxd.net,,,,,
,pinterest.com,,,,,
,0217991c.akstat.io,,,,,ads
,pinterest.at,,,,,
,a2.adform.net,,,,,ads
,connectivitycheck.gstatic.com,,,,,
,play.googleapis.com,,,,,
webhook.logentries.com,,,,,,
firebaselogging.googleapis.com,,,,,,
firebaselogging-pa.googleapis.com,,,,,,
firebaseinstallations.googleapis.com,,,,,,
app.config.homesmart.ikea.net,,,,i,i,vendor
pagead2.googlesyndication.com,,,,,,
privacypolicy.config.homesmart.ikea.net,,,,i,i,vendor
supportdetails.config.homesmart.ikea.net,,,,i,i,vendor
meta.config.homesmart.ikea.net,,,,i,i,vendor
app-measurement.com,,,,,,
