IOTFLOW,DYNAMIC,MATCH,REASON,IoT-RELATED,IoT-RELATED 2,IoT-RELATED REASON
v1/projects/82MxISXqDOkZsY6vAApedAdvKO3D7utZ/settings,v1/projects/82MxISXqDOkZsY6vAApedAdvKO3D7utZ/settings,exact,,b,b,
v1/import,v1/import,exact,,b,b,
JS/gigya.js,JS/gigya.js,exact,,,,
updates/soundtouch,updates/soundtouch,exact,,b,b,
,accounts.finalizeRegistration,,,d,d,
,accounts.getAccountInfo,,,d,d,
,accounts.getPolicies,,,d,d,
,accounts.getSchema,,,d,d,
,accounts.getScreenSets,,,d,d,
,accounts.initRegistration,,,d,d,
,accounts.isAvailableLoginID,,,d,d,
,accounts.register,,,d,d,
,accounts.setAccountInfo,,,d,d,
,accounts.tfa.getProviders,,,d,d,
,api/access/v1/oauth/token,,,,,monetization
,api/auth/device,,,,,monetization
,api/channels,,,,,monetization
,api/channels/8227817a-9a56-4f8c-9f2f-b6acd6df556f,,,,,monetization
,api/named_users/associate,,,,,monetization
,api/named_users/disassociate,,,,,monetization
,api/remote-data/app/7aBlEUY4R4q8BXXhcniNfA/android,,,,,monetization
,api/remote-data/deferred/7aBlEUY4R4q8BXXhcniNfA/android/03f7243e-d73b-4a83-915f-65a4c5601759,,,,,monetization
,api/user,,,,,monetization
,api/user/2zZU1HKgRyG3pC0nWUcRjw/messages,,,,,monetization
,ced/baywolf/BayWolf_4.8.1_stack_plus_app.dfu,,,,,
,ced/baywolf/index.xml,,,,,
,ced/baywolf/release_notes/release_notes_en.xml,,,,,
,ced/Monet/featureconfigs.json,,,d,d,
,integrationmanager/api/v1/webhook/a997681b-d48a-4282-aec0-3c1d58c9273e,,,d,d,related to account info
,lookup.xml,,,,,
,sdk.config.get,,,,,gigya
,service/update2/json,,,,,google apis
,socialize.getSDKConfig,,,,,
,spi/v2/platforms/android/gmp/1:856309627861:android:8aef03e9ee0f63d4/settings,,,,,
,v1/projects/monet-bose/installations,,,,,firebase
,v8.0/147566393365613,,,,,facebook
,v8.0/147566393365613/mobile_sdk_gk,,,,,facebook
,v8.0/147566393365613/model_asset,,,,,facebook
,warp9,,,,,
ced/soundtouch/mr4_cdb9ab51/index.xml,,,,i,i,
datatransport/2.3.3,,,,,,
en_US/apps-we-love,,,,,,
en_US/pairing-help,,,,,,
en_US/product-help,,,,,,
en/apps-we-love,,,,,,
en/pairing-help,,,,,,
en/product-help,,,,,,
installations,,,,i,i,
installations/c/authTokens:generate,,,,i,i,
null/app_indexing,,,,,,
pagead/conversion/app/deeplink,,,,,,
pagead/gen_204,,,,,,
sdk.errorReport,,,,,,
socialize.addConnection,,,,i,i,
socialize.login,,,,i,i,
UNKNOWN/activities,,,,i,i,
v1/attribution,,,,i,i,
v1/projects/3caxZu0cF2ENQyp0TPyREW5wxABdch8p/settings,,,,i,i,
v1/projects/class,,,,i,i,
v1/projects/settings,,,,i,i,
v1/projects/SharedPreferences_GetDefault/settings,,,,i,i,
val$appId/app_indexing_session,,,,,,
zh-Hans/apps-we-love,,,,,,
zh-Hans/pairing-help,,,,,,
zh-Hans/product-help,,,,,,
zh-Hant/apps-we-love,,,,,,
zh-Hant/pairing-help,,,,,,
zh-Hant/product-help,,,,,,
