IOTFLOW,DYNAMIC,MATCH,REASON,IoT-RELATED,IoT-RELATED 2,IoT-RELATED REASON
ikeahomesmart/releasenotes/releasenotes.html,ikeahomesmart/releasenotes/releasenotes.html,exact,,,,
pagead/gen_204,gen_204,manual,,,,
,a,,,,,
,action/0,,,,,
,actionp/0,,,,,
,ads/ga-audiences,,,,,
,api/config.json,,,,,
,api/v2/monitor,,,,,analytics.tiktok.com
,api/v2/pixel,,,,,analytics.tiktok.com
,boomerang/BY4BJ-VCVK6-JMEA5-T2M38-5FM5W,,,,,
,client_storage/a11701662245.html,,,,,
,cm/i,,,,,snapchat
,collect,,,,,snapchat
,collector/is_enabled,,,,,snapchat
,consent/get/b90e6d5c-8129-44ce-ad82-44c9a2f8738a,,,,,
,consent/set/b90e6d5c-8129-44ce-ad82-44c9a2f8738a,,,,,
,cookieconsentpub/v1/geo/location,,,,,
,ct.html,,,,,
,datafiles/QtzNkRuH5LTvHmbS6pDBs.json,,,,,
,g/collect,,,,,
,generate_204,,,,,
,gtag/js,,,,,
,h/b90dea8b4dec42619841bf216443707a,,,,,
,ikeahomesmart/privacy/privacy_policy_en_us.html,,,,,
,ikeahomesmart/tnc/android_tandc_en_us.html,,,,,
,j/collect,,,,,
,json,,,,,
,maps/api/mapsjs/gen_204,,,,,
,optout_check,,,,,
,p,,,,,
,pagead/1p-user-list/1035699132,,,,,
,pagead/viewthroughconversion/1035699132,,,,,
,partnerjs/xdi/proxy.3d2100fd7107262ecb55ce6847f01fa5.html,,,,,
,pdst-events-prod-sink,,,,,
,pixie,,,,,
,predict,,,,,
,publishEvent,,,,,
,Serving/TrackPoint,,,,,
,signals/config/3465423686912116,,,,,
,sp.pl,,,,,
,t/v2/activity,,,,,advertiser us-gmtdmp.mookie1.com
,tr,,,,,
,us/en/customer-service/product-support/smart-products,,,,,
,us/en/header-footer/footer-lazy-fragment.html,,,,,
,us/en/meta-data/navigation/value-propositions.json,,,,,
,user,,,,,
,userdata/get,,,,,
,v1/events,,,,,logx.optimizely.com
,v1/pages/ChNDaHJvbWUvOTcuMC40NjkyLjk4EhAJTeVORgcEMGsSBQ1tO9efEmQJ6oCjyx7G_4cSBQ1tO9efEgUNKFan9RIFDcmdR2cSBQ2ikMzbEgUNi3MPLBIFDQ0KU9cSBQ3Z1IgbEgUNxGbO2BIFDeg0VoUSBQ0xUkCNEgUNEkz0ghIFDfoAMbsSBQ1PpnGP,,,,,googleapis
,v3,,,,,pinterest
,wi/config/10141203.json,,,,,
ap,,,,,,
AppDetails,,,,,,
ikeahomesmart/checkForUpdate/android/check_update__.html,,,,i,i,
ikeahomesmart/checkForUpdate/android/check_update_en_us.html,,,,i,i,
ikeahomesmart/tradfri/support/learn_more__.html,,,,,,
ikeahomesmart/tradfri/support/learn_more_en_us.html,,,,,,
ikeahomesmart/tradfri/support/need_help__.html,,,,,,
ikeahomesmart/tradfri/support/need_help_en_us.html,,,,,,
ikeahomesmart/troubleshoot,,,,i,i,
ikeahomesmart/troubleshoot/add_input_devices,,,,i,i,
ikeahomesmart/troubleshoot/clear_all_settings,,,,i,i,
ikeahomesmart/troubleshoot/clear_reset_max_length,,,,i,i,
ikeahomesmart/troubleshoot/clone_pair,,,,i,i,
ikeahomesmart/troubleshoot/clone_reset,,,,i,i,
ikeahomesmart/troubleshoot/device_unreachable,,,,i,i,
ikeahomesmart/troubleshoot/devices_update_failed,,,,i,i,
ikeahomesmart/troubleshoot/disable_amazon_alexa,,,,i,i,
ikeahomesmart/troubleshoot/disable_google_home,,,,i,i,
ikeahomesmart/troubleshoot/dont_see_all_music,,,,i,i,
ikeahomesmart/troubleshoot/dont_see_all_music_speakers,,,,i,i,
ikeahomesmart/troubleshoot/gateway_connection_app,,,,i,i,
ikeahomesmart/troubleshoot/gateway_not_found,,,,i,i,
ikeahomesmart/troubleshoot/gateway_not_found/_,,,,,,
ikeahomesmart/troubleshoot/gateway_not_found/_.html,,,,,,
ikeahomesmart/troubleshoot/gateway_not_found/_COUNTRY_CODE.html,,,,,,
"ikeahomesmart/troubleshoot/gateway_not_found/_SharedPreferences_GetString->""SELECTED_COUNTRY""",,,,,,
ikeahomesmart/troubleshoot/gateway_not_found/_US.html,,,,,,
ikeahomesmart/troubleshoot/gateway_not_found/en_,,,,,,
ikeahomesmart/troubleshoot/gateway_not_found/en_.html,,,,,,
ikeahomesmart/troubleshoot/gateway_not_found/en_COUNTRY_CODE.html,,,,,,
"ikeahomesmart/troubleshoot/gateway_not_found/en_SharedPreferences_GetString->""SELECTED_COUNTRY""",,,,,,
ikeahomesmart/troubleshoot/gateway_not_found/en_US.html,,,,,,
ikeahomesmart/troubleshoot/gateway_not_found/LANGUAGE_CODE_,,,,,,
ikeahomesmart/troubleshoot/gateway_not_found/LANGUAGE_CODE_.html,,,,,,
ikeahomesmart/troubleshoot/gateway_not_found/LANGUAGE_CODE_COUNTRY_CODE.html,,,,,,
