IOTFLOW,DYNAMIC,MATCH,REASON,IoT-RELATED,IoT-RELATED 2,IoT-RELATED REASON
devices/v2,devices/v2,exact,,b,b,
collect,collect,exact,,,,google-analytics
schedules/v1,schedules/v1,exact,,b,b,
schedules/v2,schedules/v2,exact,,b,b,
firmware/manifest,firmware/manifest,exact,,b,b,
scenes,scenes/v2,manual,partial at functionality,b,b,
UNKNOWN/tags/v1,tags/v1,manual,placeholder,b,b,
v1/lights/all,v1/lights,manual,partial,b,b,
,ads/ga-audiences,,,,,
,apps/intercom-proxy,,,d,d,
,c/v1/tracking/tokens/current,,,d,d,
,c/v2/chat/sessions,,,d,d,
,collections/shop-the-app,,,,,
,firmware/firmware.manifest.OcnpLvTalyBgFavY,,,d,d,
,firmware/v2.80-20210118-RC18-BULB.zip,,,d,d,
,glm/mmap/api,,,,,
,id/v1,,,d,d,
,id/v1/sign_in,,,d,d,
,id/v1/sign_up,,,d,d,
,j/collect,,,,,
,messenger/mobile/events,,,,,
,messenger/mobile/metrics,,,,,
,messenger/mobile/users,,,,,
,messenger/web/ping,,,,,
,p/v1/schedules/default,,,d,d,
,p/v2/chat/settings,,,d,d,
,pubsub/5-3uRdJLa3voXI9A-rX70jgBUsrqRvT0mG1oLRB3ndyv8-ofzd7CADRnLb4L55RW65xSPyGxbt3ohJUO2aZq9bwVLPRHwq0MklbhPi,,,,,
,themes/v1,,,,,
,tr,,,,,
,track/json,,,,,
,unstable/produce_batch,,,,,
,v1/produce,,,,,monorail-edge.shopifysvc.com/v1/produce
,v1/projects/lifx-android-87fdd/installations,,,,,firebase
,widget/mnum1hy0,,,,,
[id]/activate,,,,i,i,
[id]/state,,,,i,i,
[userId]/device_info,,,,i,i,
[userId]/session,,,,i,i,
[userId]/trigger,,,,i,i,
1/batch,,,,,,swrve.sdk
api/1/user_resources_and_campaigns,,,,,,swrve.sdk
api/2/apps/com.lifx.lifx,,,,,,sdk.hockeyapp.net
api/2/apps/d33bb6d840ef8b752f895a95f8ae52f8,,,,,,sdk.hockeyapp.net
api/2/apps/d33bb6d840ef8b752f895a95f8ae52f8/crashes,,,,,,sdk.hockeyapp.net
api/2/apps/packageName/crashes,,,,,,sdk.hockeyapp.net
color_permalinks/v1,,,,i,i,
devices/v2/register,,,,i,i,
log/v1,,,,i,i,
pagead/gen_204,,,,,,
promotions/v1,,,,,,
schedule_tags/v1/matching,,,,i,i,
schedules/v1/{},,,,i,i,
schedules/v1/bulk,,,,i,i,
talk/game/YnCADVWTrmtRpbcFpAQ/user/device_info,,,,,,swrve.sdk
talk/game/YnCADVWTrmtRpbcFpAQ/user/session,,,,,,swrve.sdk
"talk/game/YnCADVWTrmtRpbcFpAQ/user/SharedPreferences_GetString->""userId""",,,,,,swrve.sdk
talk/game/YnCADVWTrmtRpbcFpAQ/user/trigger,,,,,,swrve.sdk
talk/game/YnCADVWTrmtRpbcFpAQ/user/UNKNOWN/device_info,,,,,,swrve.sdk
talk/game/YnCADVWTrmtRpbcFpAQ/user/UNKNOWN/session,,,,,,swrve.sdk
talk/game/YnCADVWTrmtRpbcFpAQ/user/UNKNOWN/trigger,,,,,,swrve.sdk
v1/lights/group_id:/state,,,,i,i,
"v1/lights/group_id:Intent_GetExtrajava.lang.String->""id""",,,,i,i,
"v1/lights/id:,id:/state",,,,i,i,
v1/lights/location_id:/state,,,,i,i,
"v1/lights/location_id:Intent_GetExtrajava.lang.String->""id""",,,,i,i,
v1/scenes,,,,i,i,
v1/scenes/scene_id:/activate,,,,i,i,
"v1/scenes/scene_id:Intent_GetExtrajava.lang.String->""id""",,,,i,i,
volley,,,,,,
webview/v1,,,,,,
