IOTFLOW,DYNAMIC,MATCH,REASON,IoT-RELATED,IoT-RELATED 2,IoT-RELATED REASON
v3/iasdkauth,v3/iasdkauth,exact,,b,b,
notices,notices,exact,,b,b,
pagead/gen_204,gen_204,manual,placeholder,,,
,api/v1/user/profile,,,d,d,
,api/v2/nut/secure/bind,,,d,d,
,api/v3/nut/secure/update,,,d,d,
,generate_204,,,,,
,introduction,,,,,web
,introduction/openPermission,,,,,web
,introduction/page/43da675c-3bc9-4702-a6b6-8452dd6f81b5,,,,,web
,kv,,,,,
,mobile/binary,,,,,
,qqconnectopen/openapi/policy_conf,,,,,
,unify_logs,,,,,
,ws/log/upload,,,,,
,ws/mps/rtt,,,,,
,ws/mps/vmap,,,,,
a/rest/appdata/v1/aaid/report,,,,,,
admsg/v2/getmsg,,,,,,
admsg/v2/launch,,,,,,
admsg/v2/stats,,,,,,
alias,,,,,,analytics
alias/delete,,,,,,
alias/set,,,,,,
amdc/mobileDispatch,,,,,,taobao.com
api/crashsdk/logcollect,,,,,,analytics
api/crashsdk/validate,,,,,,analytics
api/postZdata,,,,,,analytics
api/updateZdata,,,,,,analytics
b/rest/appdata/v1/aaid/report,,,,,,
c/sign_d,,,,,,
collection/collectData,,,,,,
connect/l/qrconnect,,,,,,
connect/sdk/qrconnect,,,,,,
d/rest/appdata/v1/aaid/report,,,,,,
f/rest/appdata/v1/aaid/report,,,,,,
man/api,,,,,,analytics
o/oauth2/revoke,,,,i,i,auth
oauth2.0/m_authorize,,,,i,i,
offmsg/req,,,,,,analytics
offmsg/switch,,,,,,analytics
pagead/conversion/app/deeplink,,,,,,

pass/v2/register,,,,i,i,xiaomi
pass/v2/register/encrypt,,,,i,i,xiaomi
privacyPolicy,,,,,,
psc,,,,i,i,xiaomi
rest/appdata/v1/aaid/report,,,,,,
tag/add,,,,,,analytics
tag/delete,,,,,,analytics
tag/get,,,,,,analytics
tagplus/delete,,,,,,analytics
tagplus/incr,,,,,,analytics
tagplus/list,,,,,,analytics
UNKNOWN/api/v1/raw/upload,,,,,,analytics
useAgreement,,,,,,analytics
v0cc/log/batch,,,,,,googleapis
v1/projects/{}/installations,,,,,,firebase
v1/projects/{}/installations/{},,,,,,firebase
v1/projects/{}/installations/{}/authTokens:generate,,,,,,firebase
v2/getServerDomain,,,,i,i,huawei iot
v2/getUploadInfo,,,,i,i,
v2/notifyUploadSucc,,,,i,i,
v3/config/district,,,,,,maps
v3/geocode/regeo,,,,,,maps
v3/log/init,,,,,,maps
v3/place/around,,,,,,maps
v3/place/text,,,,,,maps
visitor/signin,,,,,,sina
