IOTFLOW,DYNAMIC,MATCH,REASON,IoT-RELATED,IoT-RELATED 2,IoT-RELATED REASON
v1/user/push_token,v1/user/push_token,exact,,b,b,
v1/pop_up/is_need,v1/pop_up/is_need,exact,,b,b,
v1/product/all_online_products,v1/product/all_online_products,exact,,b,b,
v1/user/user_menu,v1/user/user_menu,exact,,b,b,
v1/help/data_policy,v1/help/data_policy,exact,,b,b,
v1/speaker/up_firmware_version,v1/speaker/up_firmware_version,exact,,b,b,
v1/speaker/bind,v1/speaker/bind,exact,,b,b,
v1/playlist/lum/status,v1/playlist/lum/status,exact,,b,b,
v1/banner/get_banner/{},v1/banner/get_banner/Normal,manual,placeholder,b,b,
[productCode]/firmware/update,v1/speaker/sound_core/A3027/firmware/update,manual,placeholder,b,b,
v1/survey/info/obj,v1/survey/A3027/info/30271319D22F12AC,manual,placeholder,b,b,
v1/user/aaid/null,v1/user/aaid/110d0e5f-c711-4223-a3e9-876a7a050475,manual,placeholder,b,b,
pagead/gen_204,gen_204,manual,placeholder,,,
,ads/ga-audiences,,,,,
,chat,,,,,
,collect,,,,,
,discourse-rainbow/home/recommend.json,,,,,
,discourse-rainbow/promotions.json,,,,,
,discourse-rainbow/taxonomies.json,,,,,
,g/collect,,,,,
,gallery,,,,,
,generate_204,,,,,
,gtag/js,,,,,
,j/collect,,,,,
,latest.json,,,,,
,message-bus/3f80ad3858b44e549a170238de97d833/poll,,,,,
,music,,,,,
,offline.html,,,,,
,push_log_hdfs,,,d,d,
,service/update2/json,,,,,
,soundcoremall/prod/1639124149493184_11_Metalic.zip,,,d,d,
,soundcoremall/prod/1639128892567484_12_Black_final.zip,,,d,d,
,soundcoremall/prod/1639131449689894_11_Metalic.zip,,,d,d,
,track,,,,,
,upgrade/prod/1630568634710456_A3027_BT_FW_V01.21_20210818_b56343a_release.bin.converted.bin,,,d,d,
,v1/ar/source/IT/ALL,,,d,d,
,v1/pages/ChRDaHJvbWUvOTYuMC40NjY0LjEwNBIeCVwxSwlkbartEgUNFQhopRIFDdtHPhkSBQ14bxIZ,,,,,
,v1/white_noise/diy/list,,,d,d,
,v1/white_noise/recommend,,,d,d,
[version]/firmware/update,,,,i,i,
codes.html,,,,,,
pagead/conversion/app/deeplink,,,,,,
sdk-api/v1/platforms/android/apps/%7B%7D/minidumps,,,,,,crashlytics
spi/v1/platforms/android/apps,,,,,,crashlytics
spi/v1/platforms/android/apps/%7B%7D,,,,,,crashlytics
spi/v1/platforms/android/apps/%7B%7D/reports,,,,,,crashlytics
spi/v2/platforms/android/gmp/class%20com.google.firebase.FirebaseApp/settings,,,,,,crashlytics
spi/v2/platforms/android/gmp/null/settings,,,,,,crashlytics
v1/community/community_url,,,,i,i,
v1/function/eq,,,,i,i,
v1/help/end_invite,,,,i,i,
v1/help/feedback_soundcore,,,,i,i,
v1/message/get_message,,,,i,i,
v1/playlist/community_list/get/{},,,,i,i,
v1/playlist/community_list/get/d,,,,i,i,
v1/playlist/do_action,,,,i,i,
v1/playlist/favourite_list,,,,i,i,
v1/playlist/favourite_list/get,,,,i,i,
v1/playlist/favourite_song,,,,i,i,
v1/playlist/favourite/delete/[],,,,i,i,
"v1/playlist/favourite/delete/Bundle_GetExtraandroid.os.Parcelable->""song_community_mode_key""",,,,i,i,
v1/playlist/home,,,,i,i,
v1/playlist/list/collect,,,,i,i,
v1/playlist/lum/whitelist/save,,,,i,i,
v1/pop_up/change_pop_state,,,,i,i,
v1/projects/class,,,,i,i,
v1/promotion,,,,i,i,
v1/speaker/check_update,,,,i,i,
v1/speaker/eq,,,,i,i,
"v1/speaker/sound_core/Intent_GetExtrajava.lang.String->""productCode""",,,,i,i,
"v1/speaker/sound_core/Intent_GetExtrajava.lang.String->""version""",,,,i,i,
v1/speaker/unbind,,,,i,i,
v1/survey/record,,,,i,i,
"v1/user/activate_user/com.oceanwing.soundcore.account.viewmodel.LoginForgotVM(false,0,0,androidx.databinding.ObservableBoolean(false))",,,,i,i,
"v1/user/activate_user/com.oceanwing.soundcore.account.viewmodel.LoginVM(false,false,false,0)",,,,i,i,
v1/user/activate_user/null,,,,i,i,
"v1/user/check_register_email/com.oceanwing.soundcore.account.viewmodel.LoginVM(false,false,false,0)",,,,i,i,
"v1/user/check_register_email/com.oceanwing.soundcore.account.viewmodel.SignUpVM(false,false,false,false,false,false,false,0)",,,,i,i,
v1/user/check_register_email/null,,,,i,i,
v1/user/destroy,,,,i,i,
"v1/user/forget_password/com.oceanwing.soundcore.account.viewmodel.LoginForgotVM(false,0,0,androidx.databinding.ObservableBoolean(false))",,,,i,i,
v1/user/forget_password/null,,,,i,i,
v1/user/hearid,,,,i,i,
v1/user/login,,,,i,i,
v1/user/logout,,,,i,i,
v1/user/password/change,,,,i,i,
v1/user/register,,,,i,i,
v1/user/up_user_info,,,,i,i,
v1/user/up_user_language,,,,i,i,
v1/user/user_msg,,,,i,i,
v1/user/user_setting,,,,i,i,
v1/user/user_setting/up,,,,i,i,



















,,,,,,
