IOTFLOW,DYNAMIC,MATCH,REASON,IoT-RELATED,IoT-RELATED 2,IoT-RELATED REASON
en/app-terms-of-use,en/app-terms-of-use,exact,,,,
socket.io,socket.io,exact,,b,b,
spi/v2/platforms/android/gmp/class%20com.google.firebase.FirebaseApp/settings,spi/v2/platforms/android/gmp/1:88604511300:android:19934dc148682b95/settings,manual,placeholder,,,
pagead/gen_204,gen_204,manual,placeholder,,,
,api/lib/3/config,,,d,d,
,api/lib/3/conversations/updates,,,d,d,
,api/lib/3/events,,,d,d,
,api/lib/3/faqs/177,,,d,d,
,api/v2/light,,,d,d,
,api/v2/utility/ap-encrypt-password,,,d,d,
,complete,,,,,
,device,,,d,d,
,generate_204,,,,,
,pro/info.json,,,,,
,v1/firelog/legacy/batchlog,,,,,crashlytics
,v1/projects/wiz-system-166010/installations,,,,,crashlytics
,v11.0/1732494417037568/mobile_sdk_gk,,,,,facebook
installations,,,,,,firebase
installations/persistedInstallation,,,,,,firebase
installations/persistedInstallation/authTokens:generate,,,,,,firebase
o/oauth2/revoke,,,,i,i,
pagead/conversion/app/deeplink,,,,,,
socket.ioquery,,,,,,
spi/v1/platforms/android/apps,,,,,,firebase
spi/v1/platforms/android/apps/{}/reports,,,,,,firebase
spi/v1/platforms/android/apps/%7B%7D,,,,,,firebase
spi/v2/platforms/android/gmp/null/settings,,,,,,firebase
subscribe/websocket,,,,,,
v1/projects/class,,,,,,firebase
